Country Name,Year,GDP per Capita Growth
Brazil,1999-01-01,-0.948845922551726
Brazil,2000-01-01,2.97091078107165
Brazil,2001-01-01,0.0596489436684067
Brazil,2002-01-01,1.76024277856577
Brazil,2003-01-01,-0.0512856664974208
Brazil,2004-01-01,4.56178195748839
Brazil,2005-01-01,2.05557150146443
Brazil,2006-01-01,2.84796200765309
Brazil,2007-01-01,4.98082992000504
Brazil,2008-01-01,4.06172216621563
Brazil,2009-01-01,-1.07323833266479
Brazil,2010-01-01,6.52281617922927
Brazil,2011-01-01,3.01339627261974
Brazil,2012-01-01,1.00765403282705
Burkina Faso,1990-01-01,-3.17322794415276
Burkina Faso,1991-01-01,6.34816829414709
Burkina Faso,1992-01-01,-2.20551414476699
Burkina Faso,1993-01-01,0.92197404161665
Burkina Faso,1994-01-01,-1.20682002487743
Burkina Faso,1995-01-01,3.04104049517302
Burkina Faso,1996-01-01,8.21411497928881
Burkina Faso,1997-01-01,3.62272638630733
Burkina Faso,1998-01-01,4.3981361846896
Burkina Faso,1999-01-01,4.29923200691815
Burkina Faso,2000-01-01,-1.10685082808791
Burkina Faso,2001-01-01,3.42037281461964
Burkina Faso,2002-01-01,1.1931569551423
Burkina Faso,2003-01-01,4.50716331077845
Burkina Faso,2004-01-01,1.25080372415214
Burkina Faso,2005-01-01,5.29343297349088
Burkina Faso,2006-01-01,2.98669213366389
Burkina Faso,2007-01-01,1.00130262746538
Burkina Faso,2008-01-01,2.7310856339255
Burkina Faso,2009-01-01,-0.012474271014014
Burkina Faso,2010-01-01,5.30514455524253
Burkina Faso,2011-01-01,3.50270659412131
Burkina Faso,2012-01-01,3.273591495689
Burundi,1990-01-01,1.42189606962945
Burundi,1991-01-01,2.91306841519621
Burundi,1992-01-01,-1.59756173450253
Burundi,1993-01-01,-3.06924845604414
Burundi,1994-01-01,-4.36690133962301
Burundi,1995-01-01,-13.2959272875708
Burundi,1996-01-01,-7.96469239270505
Burundi,1997-01-01,-1.47961011099991
Burundi,1998-01-01,2.81517602503756
Burundi,1999-01-01,-3.32995048345924
Burundi,2000-01-01,-2.86056587976486
Burundi,2001-01-01,-0.439187876685963
Burundi,2002-01-01,1.56853463106961
Burundi,2003-01-01,-4.27458819750004
Burundi,2004-01-01,1.01088204580134
Burundi,2005-01-01,-2.76488049377727
Burundi,2006-01-01,1.70671383891919
Burundi,2007-01-01,-0.277700517173798
Burundi,2008-01-01,0.637154645550055
